Stock name,Symbol,Link,Scrap_Link
Tube Investments of India Ltd,TIINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIINDIA""",https://in.tradingview.com/symbols/NSE-TIINDIA/news/
Tijaria Polypipes Limited,TIJARIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIJARIA""",https://in.tradingview.com/symbols/NSE-TIJARIA/news/
Til Limited,TIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIL""",https://in.tradingview.com/symbols/NSE-TIL/news/
Times Guaranty Limited,TIMESGTY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIMESGTY""",https://in.tradingview.com/symbols/NSE-TIMESGTY/news/
Time Technoplast Limited,TIMETECHNO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIMETECHNO""",https://in.tradingview.com/symbols/NSE-TIMETECHNO/news/
Timken India Limited,TIMKEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIMKEN""",https://in.tradingview.com/symbols/NSE-TIMKEN/news/
Tips Films Ltd,TIPSFILMS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIPSFILMS""",https://in.tradingview.com/symbols/NSE-TIPSFILMS/news/
Tips Music Ltd,TIPSMUSIC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIPSMUSIC""",https://in.tradingview.com/symbols/NSE-TIPSMUSIC/news/
Thirumalai Chemicals Limited,TIRUMALCHM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TIRUMALCHM""",https://in.tradingview.com/symbols/NSE-TIRUMALCHM/news/
Titagarh Rail Systems Ltd,TITAGARH,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TITAGARH""",https://in.tradingview.com/symbols/NSE-TITAGARH/news/
Titan Company Limited,TITAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TITAN""",https://in.tradingview.com/symbols/NSE-TITAN/news/
Tamilnad Mercantile Bank Ltd,TMB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TMB""",https://in.tradingview.com/symbols/NSE-TMB/news/
Tata Nifty India Digital ETF,TNIDETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TNIDETF""",https://in.tradingview.com/symbols/NSE-TNIDETF/news/
Tamilnadu Petroproducts Limited,TNPETRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TNPETRO""",https://in.tradingview.com/symbols/NSE-TNPETRO/news/
Tamil Nadu Newsprint & Papers Limited,TNPL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TNPL""",https://in.tradingview.com/symbols/NSE-TNPL/news/
Tamilnadu Telecommunication Limited,TNTELE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TNTELE""",https://in.tradingview.com/symbols/NSE-TNTELE/news/
Tokyo Plast International Limited,TOKYOPLAST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TOKYOPLAST""",https://in.tradingview.com/symbols/NSE-TOKYOPLAST/news/
Tolins Tyres Ltd,TOLINS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TOLINS""",https://in.tradingview.com/symbols/NSE-TOLINS/news/
